id,dataset,label_type,superfamily,class,architecture,topology,homologous_superfamily,length
12asA00,CATH20,superfamily,3.30.930.10,3,30,930,10,330
132lA00,CATH20,superfamily,1.10.530.10,1,10,530,10,129
153lA00,CATH20,superfamily,1.10.530.10,1,10,530,10,185
16vpA00,CATH20,superfamily,1.10.1290.10,1,10,1290,10,321
1914A00,CATH20,superfamily,3.30.720.10,3,30,720,10,213
1a02F00,CATH20,superfamily,1.20.5.170,1,20,5,170,56
1a04A02,CATH20,superfamily,1.10.10.10,1,10,10,10,87
1a05A00,CATH20,superfamily,3.40.718.10,3,40,718,10,358
1a0cA00,CATH20,superfamily,3.20.20.150,3,20,20,150,438
1a0iA01,CATH20,superfamily,3.30.1490.70,3,30,1490,70,83
1a0iA02,CATH20,superfamily,2.40.50.140,2,40,50,140,109
1a0sP00,CATH20,superfamily,2.40.170.10,2,40,170,10,413
1a1rA02,CATH20,superfamily,2.40.10.10,2,40,10,10,85
1a1vA03,CATH20,superfamily,1.10.820.10,1,10,820,10,161
1a21B02,CATH20,superfamily,2.60.40.10,2,60,40,10,103
1a2nA02,CATH20,superfamily,3.65.10.10,3,65,10,10,208
1a2vA03,CATH20,superfamily,2.70.98.20,2,70,98,20,439
1a39A00,CATH20,superfamily,2.70.100.10,2,70,100,10,402
1a3qA01,CATH20,superfamily,2.60.40.340,2,60,40,340,179
1a40A02,CATH20,superfamily,3.40.190.10,3,40,190,10,166
1a41A01,CATH20,superfamily,3.90.15.10,3,90,15,10,136
1a4eA00,CATH20,superfamily,2.40.180.10,2,40,180,10,488
1a52A00,CATH20,superfamily,1.10.565.10,1,10,565,10,258
1a5aA00,CATH20,superfamily,3.20.20.70,3,20,20,70,268
1a5kC02,CATH20,superfamily,3.20.20.140,3,20,20,140,381
1a5tA01,CATH20,superfamily,3.40.50.300,3,40,50,300,167
1a5tA03,CATH20,superfamily,1.20.272.10,1,20,272,10,122
1a5yA00,CATH20,superfamily,3.90.190.10,3,90,190,10,285
1a62A02,CATH20,superfamily,2.40.50.140,2,40,50,140,70
1a66A00,CATH20,superfamily,2.60.40.340,2,60,40,340,178
1a68A00,CATH20,superfamily,3.30.710.10,3,30,710,10,95
1a6gA00,CATH20,superfamily,1.10.490.10,1,10,490,10,151
1a73A00,CATH20,superfamily,3.90.75.10,3,90,75,10,163
1a75A00,CATH20,superfamily,1.10.238.10,1,10,238,10,108
1a7aA01,CATH20,superfamily,3.40.50.1480,3,40,50,1480,244
1a7jA00,CATH20,superfamily,3.40.50.300,3,40,50,300,290
1a7mA00,CATH20,superfamily,1.20.1250.10,1,20,1250,10,180
