id,dataset,label_type,family,length
d1x3ca1,SCOPe-5K,family,1x3c,60
d1gsia_,SCOPe-5K,family,1gsi,208
d2q22a1,SCOPe-5K,family,2q22,131
d3p0ca1,SCOPe-5K,family,3p0c,104
d1ooha1,SCOPe-5K,family,1ooh,124
d2ehza2,SCOPe-5K,family,2ehz,165
d2ehza1,SCOPe-5K,family,2ehz,134
d2cria1,SCOPe-5K,family,2cri,134
d2j8ba_,SCOPe-5K,family,2j8b,78
d2keoa_,SCOPe-5K,family,2keo,92
d3k7ib_,SCOPe-5K,family,3k7i,157
d4b9pa_,SCOPe-5K,family,4b9p,166
d6frea1,SCOPe-5K,family,6fre,165
d2cnqa_,SCOPe-5K,family,2cnq,304
d4pe3a_,SCOPe-5K,family,4pe3,315
d1eq1a_,SCOPe-5K,family,1eq1,166
d3weba_,SCOPe-5K,family,3web,132
d6xmya1,SCOPe-5K,family,6xmy,322
d5u8ra5,SCOPe-5K,family,5u8r,100
d5u8ra4,SCOPe-5K,family,5u8r,121
d2czra1,SCOPe-5K,family,2czr,218
d7jurb_,SCOPe-5K,family,7jur,281
d2qzga1,SCOPe-5K,family,2qzg,88
d4a14a_,SCOPe-5K,family,4a14,336
d1g5ba_,SCOPe-5K,family,1g5b,219
d1x54a1,SCOPe-5K,family,1x54,104
d1x54a2,SCOPe-5K,family,1x54,330
d1vfia1,SCOPe-5K,family,1vfi,91
d2dk5a1,SCOPe-5K,family,2dk5,78
d1u6ta1,SCOPe-5K,family,1u6t,113
d1t1ua2,SCOPe-5K,family,1t1u,215
d1t1ua1,SCOPe-5K,family,1t1u,382
d1nsla1,SCOPe-5K,family,1nsl,179
d2f4ma1,SCOPe-5K,family,2f4m,287
d2f4mb2,SCOPe-5K,family,2f4m,60
d5jsia_,SCOPe-5K,family,5jsi,215
d3wg3a1,SCOPe-5K,family,3wg3,161
d2eeha1,SCOPe-5K,family,2eeh,87
d2c0ua1,SCOPe-5K,family,2c0u,170
d2c0ua2,SCOPe-5K,family,2c0u,259
d3a4ua_,SCOPe-5K,family,3a4u,228
d2vv5a1,SCOPe-5K,family,2vv5,67
d2vv5a3,SCOPe-5K,family,2vv5,86
d2vv5a2,SCOPe-5K,family,2vv5,101
d4jbma1,SCOPe-5K,family,4jbm,96
d2dbja1,SCOPe-5K,family,2dbj,111
d1wl8a1,SCOPe-5K,family,1wl8,188
d1qd5a_,SCOPe-5K,family,1qd5,257
d3ecma_,SCOPe-5K,family,3ecm,338
d2l8da1,SCOPe-5K,family,2l8d,62
d4qf3a1,SCOPe-5K,family,4qf3,56
d2oxga_,SCOPe-5K,family,2oxg,108
d1tuea1,SCOPe-5K,family,1tue,202
d5fffa_,SCOPe-5K,family,5fff,257
d1m9sa2,SCOPe-5K,family,1m9s,75
d1m9sa3,SCOPe-5K,family,1m9s,86
d2bw4a2,SCOPe-5K,family,2bw4,174
d2bw4a1,SCOPe-5K,family,2bw4,160
d2hmta_,SCOPe-5K,family,2hmt,139
d2zptx_,SCOPe-5K,family,2zpt,288
d4eo7a1,SCOPe-5K,family,4eo7,140
d4my5a_,SCOPe-5K,family,4my5,390
d1mpga2,SCOPe-5K,family,1mpg,99
d1mpga1,SCOPe-5K,family,1mpg,183
d1a8da1,SCOPe-5K,family,1a8d,247
d1a8da2,SCOPe-5K,family,1a8d,205
d5hbaa_,SCOPe-5K,family,5hba,133
d1peaa_,SCOPe-5K,family,1pea,368
d5wl1a1,SCOPe-5K,family,5wl1,180
d5wl1a2,SCOPe-5K,family,5wl1,95
d2zbta_,SCOPe-5K,family,2zbt,276
d5hkea_,SCOPe-5K,family,5hke,322
d1oaia_,SCOPe-5K,family,1oai,59
d1x3xa_,SCOPe-5K,family,1x3x,82
d2vcha_,SCOPe-5K,family,2vch,471
d1te4a_,SCOPe-5K,family,1te4,111
d2ch9a1,SCOPe-5K,family,2ch9,121
d2zgya2,SCOPe-5K,family,2zgy,163
d2zgya1,SCOPe-5K,family,2zgy,157
d2vrna_,SCOPe-5K,family,2vrn,185
d1guta_,SCOPe-5K,family,1gut,67
d4lnoa2,SCOPe-5K,family,4lno,340
d4lnoa1,SCOPe-5K,family,4lno,103
d3ifva2,SCOPe-5K,family,3ifv,131
d3ifva1,SCOPe-5K,family,3ifv,111
d2opib_,SCOPe-5K,family,2opi,209
d2fona3,SCOPe-5K,family,2fon,195
d1s9ua1,SCOPe-5K,family,1s9u,204
d1g6oa_,SCOPe-5K,family,1g6o,323
d3qe2a1,SCOPe-5K,family,3qe2,171
d3vx0a2,SCOPe-5K,family,3vx0,94
d3vx0a1,SCOPe-5K,family,3vx0,381
d4m1qa2,SCOPe-5K,family,4m1q,170
