id,dataset,label_type,sccs,class,fold,superfamily,family,length
d1dlwa_,SCOPe-ALL,family,a.1.1.1,a,a.1,a.1.1,a.1.1.1,116
d2gkma_,SCOPe-ALL,family,a.1.1.1,a,a.1,a.1.1,a.1.1.1,127
d1ngka_,SCOPe-ALL,family,a.1.1.1,a,a.1,a.1.1,a.1.1.1,126
d2bkma_,SCOPe-ALL,family,a.1.1.1,a,a.1,a.1.1,a.1.1.1,128
d4i0va_,SCOPe-ALL,family,a.1.1.1,a,a.1,a.1.1,a.1.1.1,123
d1asha_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d2dc3a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,172
d4hswa_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,137
d1ecaa_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,136
d1x9fd_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,140
d1x9fc_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,149
d1jl7a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d1it2a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,146
d1or4a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,169
d1itha_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,141
d3g46a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,146
d1b0ba_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,142
d3d1ka_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,142
d1cg5a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,141
d3d1kb_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,146
d1cg5b_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,141
d1gcvb_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,136
d1hlba_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,157
d1tu9a1,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,129
d1mbaa_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,146
d1naza_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,154
d1q1fa_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,148
d1h97a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,147
d3qm9a_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,145
d3qqqa_,SCOPe-ALL,family,a.1.1.2,a,a.1,a.1.1,a.1.1.2,151
d3l0fa_,SCOPe-ALL,family,a.1.1.3,a,a.1,a.1.1,a.1.1.3,162
d1b8da_,SCOPe-ALL,family,a.1.1.3,a,a.1,a.1.1,a.1.1.3,164
d1xg0c_,SCOPe-ALL,family,a.1.1.3,a,a.1,a.1.1,a.1.1.3,175
d4po5b_,SCOPe-ALL,family,a.1.1.3,a,a.1,a.1.1,a.1.1.3,161
d1kr7a_,SCOPe-ALL,family,a.1.1.4,a,a.1,a.1.1,a.1.1.4,110
d2wy4a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,139
d2ig3a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,127
d3pt8a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,151
d2bk9a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,153
d2c0ka_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,150
d6td7a_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,126
d6bmea_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,127
d3wctd_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,147
d3ubca_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,131
d3wfwa1,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,133
d2wtga_,SCOPe-ALL,family,a.1.1.0,a,a.1,a.1.1,a.1.1.0,158
